ticker,Name
XLE,Energy Select Sector SPDR Fund
XLF,Financial Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
XLI,Industrial Select Sector SPDR Fund
GDX,VanEck Vectors Gold Miners ETF
XLK,Technology Select Sector SPDR Fund
XLV,Health Care Select Sector SPDR Fund
XLY,Consumer Discretionary Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLB,Materials Select Sector SPDR Fund
XOP,Spdr S&P Oil & Gas Exploration & Production Etf
IYR,iShares U.S. Real Estate ETF
XHB,Spdr S&P Homebuilders Etf
ITB,iShares U.S. Home Construction ETF
VNQ,Vanguard Real Estate Index Fund ETF Shares
GDXJ,VanEck Vectors Junior Gold Miners ETF
IYE,iShares U.S. Energy ETF
OIH,VanEck Vectors Oil Services ETF
XME,SPDR S&P Metals & Mining ETF
XRT,Spdr S&P Retail Etf
SMH,VanEck Vectors Semiconductor ETF
IBB,iShares Nasdaq Biotechnology ETF
KBE,SPDR S&P Bank ETF
KRE,SPDR S&P Regional Banking ETF
XTL,SPDR S&P Telecom ETF
^GSPC,SP500 MARKET BENCHMARK
IEF,iShares 7-10 Year Treasury Bond ETF